Loading Diffusion Policy from lerobot/diffusion_pusht...
WARNING:root:Unexpected key(s) when loading model: ['normalize_inputs.buffer_observation_image.mean', 'normalize_inputs.buffer_observation_image.std', 'normalize_inputs.buffer_observation_state.max', 'normalize_inputs.buffer_observation_state.min', 'normalize_targets.buffer_action.max', 'normalize_targets.buffer_action.min', 'unnormalize_outputs.buffer_action.max', 'unnormalize_outputs.buffer_action.min']
  Loaded: 262,709,026 params on cuda
/usr/local/lib/python3.10/dist-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
  Sanity: action=[0.81 1.  ], range=[0.8, 1.0]
  NORMALIZED
  Action unnorm: min=[12. 25.], max=[511. 511.]
  State norm: min=[13.5 32.9], max=[496.1 511. ]

==================================================
  no_contract (200 episodes)
==================================================
  Ep 126: OK | cov=0.962 | viol=  7 | 20.6s
  Ep 127: OK | cov=0.952 | viol=  0 | 11.0s
  Ep 128: OK | cov=0.955 | viol=  3 | 10.0s
  Ep 129: OK | cov=0.963 | viol=  2 | 11.2s
  Ep 130: -- | cov=0.941 | viol=  1 | 32.0s
  Ep 131: OK | cov=0.950 | viol=  7 | 25.3s
  Ep 132: OK | cov=0.961 | viol=  0 | 7.9s
  Ep 133: OK | cov=0.973 | viol=  1 | 9.1s
  Ep 134: OK | cov=0.956 | viol=  3 | 14.2s
  Ep 135: OK | cov=0.950 | viol=  9 | 25.0s
  Ep 136: OK | cov=0.953 | viol=  0 | 16.5s
  Ep 137: OK | cov=0.953 | viol=  2 | 10.8s
  Ep 138: -- | cov=0.944 | viol=  5 | 30.9s
  Ep 139: -- | cov=0.927 | viol=  3 | 33.3s
  Ep 140: OK | cov=0.953 | viol=  0 | 16.8s
  Ep 141: OK | cov=0.969 | viol=  0 | 9.2s
  Ep 142: OK | cov=0.951 | viol=  3 | 19.5s
  Ep 143: -- | cov=0.938 | viol=  3 | 33.5s
  Ep 144: OK | cov=0.983 | viol=  4 | 13.0s
  Ep 145: -- | cov=0.947 | viol= 15 | 32.0s
  Ep 146: -- | cov=0.948 | viol=  7 | 32.1s
  Ep 147: -- | cov=0.904 | viol=  7 | 32.3s
  Ep 148: OK | cov=0.960 | viol=  5 | 24.1s
  Ep 149: OK | cov=0.965 | viol= 17 | 26.8s
  Ep 150: OK | cov=0.980 | viol=  0 | 13.0s
  Ep 151: OK | cov=0.950 | viol=  4 | 22.8s
  Ep 152: OK | cov=0.951 | viol=  2 | 21.1s
  Ep 153: OK | cov=0.952 | viol=  0 | 15.9s
